#,Title,Track name,Abstract,Similarity rating (0-100),Similarity checked (date),Similarity checker,Page number for attendee proceedings,Authors with affiliation and country
1571068002,Ethical Implications of AI in Healthcare: A Focus on Bias and Data Representation,Track 03 Medical and Digital Healthcare,"The rapid integration of Artificial Intelligence (AI) in healthcare presents unprecedented opportunities for improving patient outcomes and system efficiencies. However, it also introduces significant ethical challenges, particularly in algorithmic bias and data representation. This paper critically examines these ethical implications, focusing on how biases can be inadvertently embedded in AI systems and the consequences for healthcare delivery and outcomes. We analyze the critical need for diverse, representative datasets in AI model development and propose strategies for mitigating risks. Through a comprehensive review of current literature, case studies, and ethical frameworks, we aim to contribute to developing more equitable and effective AI systems in healthcare. Our findings underscore the necessity for ongoing ethical scrutiny, interdisciplinary collaboration, and robust governance mechanisms to ensure that AI in healthcare benefits all patient populations equitably.",28,8/31/24 18:57,ithenticate,,"Sadhika Singh (IIT Hyderabad, India); Boentika Singh (SN Medical College, India)"
1571068012,Identification of Groundwater Quality Using Smart Sensor Technology,Track 05 Environment and Infrastructure Monitoring,"The quality of groundwater is maintained as essential to safeguarding our ecosystem and providing safe drinking water. Due to the limited area coverage and missing sampling points, traditional groundwater monitoring techniques are less reliable, making it challenging to obtain accurate water quality. In this research, a novel approach that blends Smart Sensors with Geographic Information Systems (GIS) is identified to improve groundwater quality. Some critical groundwater parameters including pH, turbidity, dissolved oxygen, turbidity, and Nitrate may be continuously and in real-time monitored using the smart sensors. These sensors provide high-resolution data that is transmitted to a central server for analysis, then geospatial technology provides data mapping, visualization, and analysis. GIS helps in identifying pollution sources, understanding how contaminants spread over an area, and predicting future water quality trends. By integrating smart sensors and GIS, we can make quick and informed decisions about groundwater quality, while responding immediately to any issues on the water-collected wells. This study validates the development and implementation of the GIS system in the test area, demonstrating its ability to provide accurate, real-time data. The results show that this combined approach is not only effective but also cost-efficient in monitoring groundwater quality, without human error offering a sustainable way to monitor and manage groundwater quality at different times.",5,8/31/24 18:57,ithenticate,,"Vidhya Lakshmi Sivakumar (Saveetha University, India)"
1571068099,IoT-Enabled Dual-Sensor System for Optimizing Light and Moisture Levels for Agriculture,"Track 07 IoT, Wearables and Immersive Technologies","The objective of this research is to integrate feasible sensors with cloud technology to provide a sophisticated and data-driven solution towards achieving an economically viable and sustainable future. The system comprises a synergistic duo of an LDR (Light Dependent Resistor) and Soil Moisture sensor that intelligently ascertain the requisite light intensity and soil hydration levels. This data is communicated via a Wi-Fi-enabled microcontroller to a cloud infrastructure made accessible easily on any smart device. The system is automated to administer the optimal amount of artificial illumination and irrigation based on real-time analytics. In essence, this cloud-based architecture facilitates a competent agricultural monitoring system delivering a self-sustainable and cost-effective solution.",6,8/31/24 18:57,ithenticate,,"Harini SN and Hamrita H (Vellore Institute of Technology, India); Then Mozhi Ganapathy (National Institute of Technology, India); Dhanalakshmi Kaliaperumal (National Institute of Technology Tiruchirappalli, India)"
1571068113,Model Selection to Identify Touch Sensation Types,Track 09 Sensors Interfaces and Sensors Analytics,"The present work focuses on the identification of different touch sensations by a fabricated skin sensor using theoretical models. These models relate various human skin contact motions (holding, stretching, bending, tapping, and sliding) to change in electrical properties. The electrical and mechanical characteristics of a skin sensor based on conductive liquid metal filled with elastomers, influenced by the deformation of the material, are studied during real-time experiments for various touch motions. To determine which mathematical model is best suited for comprehending the specific touch actions, we examine two models that relate the electrical parameters (such as resistance and capacitance) with the strain (a mechanical parameter).",10,8/31/24 18:57,ithenticate,,"Deepika Gupta and Sachin Sharma (Indian Institute of Technology Mandi, India); Anuj Nandanwar (Indian Institute of Technology, Kanpur, India); Deepak Sachan (Indian Institute of Technology Mandi, India); Jagadeesh Kadiyam (Robotics, India); G Shrikanth Reddy (IIT Mandi, India); Narendra Dhar (Indian Institute of Technology Mandi, India)"
1571068177,Investigating the Potential of PEDOT: PSS/Graphene Based RFID Sensor for Milk Spoilage Detection,Track 01 Agriculture and Food Technology,"This study aims to develop a PEDOT: PSS/graphene-based RFID gas sensor for assessing the freshness of thermally processed milk. Acetone was selected as a marker VOC for milk spoilage. Initially, an RFID gas sensor was developed using bare PEDOT: PSS as the gas sensing layer, which demonstrated the ability to detect acetone VOC. However, the detection limit (LOD) was found to be poor (500 ppm of acetone). We observed frequency and amplitude shifts in the RFID sensor response under different concentrations of acetone. For instance, an increase in amplitude of 9.94 dB and a frequency shift of 30 kHz was observed compared to the signal of the sensor in the presence of air. In subsequent studies, we plan to enhance the sensor's sensitivity and detection limit by doping graphene nanoparticles into the sensing layer. We will examine the performance of RFID gas sensors in detecting different concentrations of acetone at various humidity levels (50%-80%) under ambient temperature (25°C). Our preliminary results indicate the potential of RFID gas sensor in detecting acetone with low concentration. Integration of the smart RFID sensor with the milk package will enable the milk freshness detection.",11,8/31/24 18:57,ithenticate,,"Abhinandan Pal and Kanishka Bhunia (Indian Institute of Technology Kharagpur, India); Stéphane Bila (XLIM UMR 7252 Université de Limoges/CNRS, France); Hamida Hallil (University of Bordeaux & IMS-Bordeaux Lab, France)"
1571068203,Geometrical Study and Performance Analysis of Gold Interdigitated Microelectrodes (IDµEs): Towards Biosensing Applications,Track 09 Sensors Interfaces and Sensors Analytics,"The geometric design of electrodes plays a crucial role in determining the biosensor sensitivity and resolution by altering the Electric field (E). Specifically, the value of electric sensing parameters like resistance (R), capacitance (C), and impedance (Z), inherently depends on the strength of the generated electric field between electrodes. So, one must generate a large electric field for the applied AC or DC voltage. Unfortunately, the rigorous practical study on the same is limited on account of cleanroom-based fabrication techniques' cost and time. So, it is essential to study and analyze the geometrical performance of electrodes using simulations - present work aimed at this. In this work, we specifically selected gold-interdigitated microelectrodes (IDµEs) as one of the most viable alternatives to conventional two-electrode systems based on the enhanced field strength (E) generated for the same applied voltage. Specifically, the geometric study of gold IDµEs was carried out using the COMSOL Multiphysics simulator by varying the inter-finger distance and number of fingers between the electrodes. Based on the generated electrical field strength, one can select the best design for biosensor fabrication.",10,8/31/24 18:57,ithenticate,,"Patta Supraja (SRM University AP, India); Matta Durga Prakash (SRM University-AP, Andhra Pradesh, India); Leenendra Chowdary Gunnam (SRM University AP, India); jonnadula Naga srinivas (SRM University, India)"
1571068288,Digital Filter Design for Enhanced Signal Processing in PPG-Based Health Monitoring Systems,"Track 04 Industry 5. 0, Manufacturing and Automation","This paper details the development and application of a more efficient Infinite Impulse Response (IIR) filter, specifically the Chebyshev Type II, to replace the memory-demanding moving average filter in real-time signal processing for microcontroller-based systems. The primary goal is to lower memory usage and reduce signal detection delays, both of which are essential for resource-constrained embedded systems. The filter design was meticulously executed using MATLAB, involving comprehensive stability assessments such as pole-zero analysis, impulse response evaluation, and Bode plot examination, which verified the stability and effectiveness of third and fourth-order Chebyshev Type II filters for processing photoplethysmogram (PPG) signals. Among these, the third-order filter demonstrated superior performance, particularly regarding phase stability and frequency response. The digital filter was implemented using the Cascade (Biquad) Form, which improved numerical stability, modularity, and the precision of filter coefficient control, minimizing rounding errors in digital applications. The resulting system, employing derived difference equations, offers quicker and more dependable PPG signal processing with decreased memory requirements and reduced signal delay. Future studies might investigate further optimizing filter performance by rearranging biquad sections, potentially enhancing the effectiveness of real-time signal processing.",14,8/31/24 18:57,ithenticate,,"Uthra T K, Binu Nair and Sangeeta N Kale (Defence Institute of Advanced Technology, India)"
1571068362,Fault Detection of Vacuum Pumps in PV Solar Cell Manufacturing: A Deployment Case-Study,"Track 04 Industry 5. 0, Manufacturing and Automation","Pump failures in industrial settings can lead to significant
operational disruptions and financial losses. This paper
presents a data-driven framework for unsupervised anomaly
detection to enable proactive fault detection in vacuum pumps
operating within a chemical vapor deposition (CVD) unit at a
Photovoltaic (PV) solar cell manufacturing facility. The framework
consists of two distinct stages: offline model development
followed by online deployment. During the offline stage, a diverse
set of unsupervised anomaly detection algorithms are trained
and evaluated on historical operational data to select the most
effective model for the specific equipment and operating conditions.
In the online stage, we design and implement a periodic
inference pipeline to monitor real-time data streams and detect
anomalies that deviate from the established baseline of normal
operating behaviour. Among the models tested in the offline stage,
the best model yielded a high F1-score of 96% and low training
time of 1 min. Results from the actual online deployment of
this framework in a real-world production environment provide
verifiable evidence of its real-world impact.",8,8/31/24 18:57,ithenticate,,"Ajay Narayanan and Kedar Kulkarni (Reliance Industries Limited, India); Myat Kaung, Kelly Tay, Fery Riswan and Muhammed Azzrul (REC Solar, Singapore)"
1571068482,Fusion of Thermal and RGB Images for Traffic Object Detection,"Track 02 Surface, Air, and Water Transportation","Conventional approaches to traffic data collection often involve the use of RGB cameras. In an outdoor scenario, the data collected is affected by many factors, such as poor/excessive lighting, weather, occlusion, etc. Introducing a thermal sensor helps tackle the loss of information in RGB images. This paper discusses the existing sensor fusion approaches, such as pixel-level, feature-level, and decision-level fusion. A new algorithm - the 4-channel YOLO V-8 model has been implemented, and its performance was compared with the existing approaches. These algorithms are evaluated on the FLIR ADAS dataset. This paper shows the superior performance and reduced loss in information of the new 4-channel algorithm over the existing algorithms.",10,8/31/24 18:58,ithenticate,,"Anirud Nandakumar (Indian Institute of Technology, Madras, India); Lelitha Devi Vanajakshi (IIT Madras, India); Chandrashekar Lakshminarayanan (Indian Institute of Technology, Madras, India)"
1571068483,An On-Chip All-Digital Low-Mismatch CMOS Process Monitoring Sensor Circuit for Accurate Process Sensing in 28-nm FD-SOI Technology,Track 11 Other Novel Applications,"As semiconductor manufacturing processes continue to scale down, variability-induced process shifts have become a significant challenge, impacting both yield and performance of a chip. Die-Die and within-die process variations can occur during the manufacturing cycle of a silicon wafer leading to mismatches in electrical parameters of circuits thereby impacting the performance and power of a chip. To mitigate the impacts of these variations, larger guard bands during circuit design are taken leading to performance and area loss. To improve yield and reduce design margins, information regarding the process centering of a silicon die therefore becomes crucial. This paper proposes an on-chip all-digital low mismatch sensor circuit to monitor ON-current variations of nMOS and pMOS independently. The dependency of ON-current on threshold voltage makes this circuit useful  for sensing process variations. The proposed architecture enables high sensing accuracy and area efficiency by using an inverter-based topology. For a 60 stage sample size for nMOS and 84 stage for pMOS, the sensor area is 0.00096 mm2 with worst-case standby power consumption of 600 µW at 0.8 V operation. The solution therefore enables low-cost implementation for applications such as post-silicon tuning using adaptive voltage scaling, adaptive body-bias and to validate model accuracy through model vs silicon mismatch. Detailed simulation and silicon results in 28-nm Fully Depleted Silicon on Insulator (FD-SOI) show the validity of the proposed circuit.",18,8/31/24 18:58,ithenticate,,"Anuj Bhardwaj, Vibhor Saraf and Anand Mishra (STMicroelectronics, India)"
1571068512,Development of Flexible and Wearable PDMS-CNT Based Tactile Sensor for Robotic Gripper,"Track 07 IoT, Wearables and Immersive Technologies","Though piezoresistive pressure sensors have been explored extensively for various applications, high sensitivity over a wide pressure range is still challenging. In this work, a flexible and hence, wearable, cubic unit of resistive pressure sensor with unit length of 4 mm is fabricated using the biocompatible composite of polydimethylsiloxane (PDMS) and functionalized multi-walled carbon nanotubes (f-MWCNTs), using tetrahydrofuran (THF) as the solvent. The response of the sensor for wide range of pressure (6 KPa - 3 MPa) with varying f-MWCNT percentage (3 wt% to 8 wt% in PDMS matrix) was studied.  Among all fabricated sensors, the sensor with 7 wt% of f-MWCNT showed relatively better sensitivity of about 0.007565 KPa-1 and 0.001669 KPa-1 in the pressure range of 6 KPa - 62.5 KPa and 62.5 KPa - 125 KPa respectively, than most of the reported results. Sensors showed excellent performance with respect to its response time and repeatability. Upon integrating these units in a 3 X 3 array, the combination showed good sensitivity up to the force of 18 N; exhibiting potential in the field of wearable and robotic applications.",10,8/31/24 18:58,ithenticate,,"Akshara R, Mandar Ghaisas, Aman Gupta, Rajat Srivastava, Jaising Pendnekar and Sangeeta Kale (Defence Institute of Advanced Technology, India)"
1571068544,Accurate Blood Pressure Prediction Using Korotkoff Sound and Cuff Pressure: A Pilot Study,Track 03 Medical and Digital Healthcare,"Blood pressure (BP) serves as a critical indicator of cardiovascular health. Hypertension, a grave medical condition, manifests when the body's BP surpasses the threshold of 140/90 mmHg, leading to life-threatening risks such as heart attacks and strokes. Many commercial digital BP devices based on Oscillometric method are often less accurate which may lead to inaccurate diagnosis, especially in home settings. This research attempts to develop an accurate BP prediction method using deep learning model over korotkoff sound and cuff pressure. This is a pilot study to validate the method of BP prediction and to show proof of concept. A digital BP measurement prototype device was developed on the principle of auscultation, renowned as the 'gold standard' in manual BP measurement, and it is used for the sole purpose of capturing excellent quality korotkoff sound and cuff pressure. Using this prototype device, data was collected from a cohort of over 115 subjects, with measurements conducted under the supervision of medical professionals. A Convolutional Neural Network (CNN) based model was trained on this captured data to discern Korotkoff peaks, enabling an exact prediction of corresponding systolic and diastolic BP values. After comparing the predictions with ground truth, the validation results show mean absolute error and standard deviation error for systolic and diastolic errors as 4.06 ± 5.35 mmHg and 3.89 ± 4.51 mmHg, respectively. This promising outcome underscores the potential of accurate BP prediction using auscultatory method and deep learning as a valuable tool.",10,8/31/24 18:58,ithenticate,,"Sushrut Suresh Lingayat (TCS Innovation Labs, India); Sundeep Khandelwal and Murali Poduval (Tata Consultancy Services, India); Sujit Shinde (Tata Consultancy Services Limited, India); Karan Bhavsar (Platform Architect & TCS Research & Innovation, India); Sanjay Madhukar Kimbahune (Tata Consultancy Services Ltd., India); Avik Ghose (Tata Consultancy Services, India)"
1571068658,Biohybrid Sensors for Underwater Monitoring,Track 05 Environment and Infrastructure Monitoring,"With the rising climate change and its consequences on the aquatic biosphere, long-term underwater monitoring has become an important topic of research.   In this regard, the project Robocoenosis puts forward an innovative concept of establishing a symbiotic association of different living organisms and mechatronic components to design an autonomous long-term monitoring system. In this paper, we propose a novel biohybrid sensor organ using freshwater mussels as biological sensors. The behavior of mussels is related to the nature of their habitat. The presence of toxic compounds, weather changes, and impromptu human actions, to name a few, affect their behavior. The main goal is to extend conventional long-term monitoring methods by adding biohybrid sensor organs for a comprehensive study. Two types of sensors are implemented to monitor the behavior of zebra mussels. The results demonstrated that the proposed sensor organ could be a valuable addition to long-term underwater monitoring.",1,8/31/24 18:58,ithenticate,,"Niharika Gogoi (Durham University, United Kingdom (Great Britain)); Nikolaus Helmer (University of Graz, Austria); Chao Wu (Durham University, United Kingdom (Great Britain)); Ronald Thenius (University of Graz, Austria); Alexander J Casson (The University of Manchester, United Kingdom (Great Britain)); Thomas Schmickl (Karl-Franzens University Graz, Austria); Farshad Arvin (University of Durham, United Kingdom (Great Britain))"
1571068801,Analysis of Magnetic Field Sensing Capability of Diamond Embedded With Nitrogen Vacancy Center,Track 10 Quantum Sensors and Emerging Technologies,"This paper presents the analytical study of the magnetic field sensing capability of nitrogen-vacancy (NV) centers in diamonds. The analytical expression for signal-to-noise ratio and magnetic field sensitivity is obtained as a function of decoherence time, noise constant, and gyromagnetic ratio of the NV center. It is shown that the effect of miniaturization of sensors can be compensated with the help of an amplifier at the sensor's surface. The comparison of sensitivity with and without amplifier is obtained to quantify the improvement. The novelty in this work is validating the pulse sequences as a quantum circuit on quantum device simulator, and estimating analytical sensitivity parameter with and without the amplifier for comparison.",6,8/31/24 18:58,ithenticate,,"Ambika Bhatta (Indiana University, USA); Philip Shushkov (Indiana University Bloomington, USA); Himadri Dhar (IIT Bombay, India)"
1571068869,Eye Controlled Wheel Chair Monitoring System for People Suffering From Quadriplegia,"Track 07 IoT, Wearables and Immersive Technologies","The development of an Eye-Controlled Wheelchair Monitoring 
System (ECWMS) leverages advancements in digital image processing and 
eye-tracking technology to enhance the mobility and independence of 
individuals with severe motor impairments. This project integrates 
Raspberry Pi and OpenCV to create a cost-effective and efficient solution 
that translates eye movements into wheelchair control commands. The 
system is designed to operate in real-time, providing an intuitive interface 
for users who may find traditional joystick or switch-based controls 
challenging to use. Despite demonstrating feasibility and effectiveness, the 
current prototype faces several challenges. The processing time, currently 
around four seconds, introduces a delay that impacts the responsiveness of 
the wheelchair. Additionally, the system's performance is highly dependent 
on lighting conditions, performing optimally in well-lit environments and 
struggling in lowlight conditions. Safety features, such as obstacle 
detection and automatic stopping, are critical and need further refinement 
to prevent unintended movements and collisions. Future enhancements aim 
to address these limitations by improving the real-time processing 
capabilities and making the system adaptable to varying lighting 
conditions. Integration with smart home devices and additional control 
functionalities will further enhance user independence. Extensive field 
testing, collaboration with healthcare professionals, and iterative 
development based on user feedback are essential for creating a 
commercially viable and user-friendly product. The ultimate goal is to 
provide a reliable and accessible assistive technology that significantly 
improves the quality of life for individuals with mobility impairments.",42,8/31/24 18:58,ithenticate,,"Mihir Sangli (B M S College of Engineering, India); Spoorthi Sripad (BMS College of Engineering, India)"
1571068905,Fabrication of Eco-Friendly 3D Origami-Based Fabric Microfluidics Channels,Track 03 Medical and Digital Healthcare,"Microfluidic channels inspired by origami have emerged as a possible approach to create flexible and reconfigurable fluidic systems within a small space. Present work aims to examine the design, fabrication, and application of microfluidic channels employing fabric substrates, with beeswax barriers as channel walls. Firstly, we discuss the requirement of surface modification of the fabric surface. These microchannels may be folded into intricate three-dimensional patterns utilizing flexible and resilient fabric materials, therefore enabling varied control of fluids in confined areas using beeswax. Results obtained clearly demonstrate materials used in the fabrication process are eco-sustainable addressing the requirement of recyclability. The strong mechanical properties and great fluid manipulation ability of the resulting channels make them ideal for a variety of uses including soft robotics, wearable sensors, and lab-on-a-chip wearable devices. This paper presents an eco-sustainable 3D origami microfluidics as a novel framework for building flexible and adaptable fluidic systems in the fields of industry, environmental research, and POC device applications.",4,8/31/24 18:58,ithenticate,,"Lingadharini P (Vellore Institute of Technology, India); Debashis Maji (VIT Vellore & IIT Kharagpur, India)"
1571068957,Faulty Junction Box Identification in Photovoltaic Manufacturing,"Track 04 Industry 5. 0, Manufacturing and Automation","Ensuring safe and efficient operation of photovoltaic (PV) panels requires the identification of faults within critical components such as junction boxes, that serve as protective enclosures for electrical connections within the panel. Faulty junction boxes can lead to short circuits, that can result in fires, making early detection of faulty junction boxes critical. In this paper, we propose a novel ensemble approach that combines advanced deep learning based object detection and image classification techniques to detect faulty junction boxes. The proposed approach demonstrates excellent performance on a real-world dataset of junction box images from an operating solar panel manufacturing unit with an F1 score of 0.98, offering an accurate and reliable solution to detect faulty junction boxes.",17,8/31/24 18:58,ithenticate,,"Anand Thirwani, Kedar Kulkarni and Rahul Nair (Reliance Industries Limited, India); Myat Kaung (REC Solar, Singapore)"
1571069056,A Microfluidics Based Sucrose Sensing Technique for On-Field Maturity Monitoring of Sugarcane Crop,Track 01 Agriculture and Food Technology,"Technological interventions are becoming apparent in the harvest of sugarcane crop because of losses in the production of sugar. Research initiatives at present range from using Satellite images for monitoring crop maturity based on NDVI to assessing the content of sucrose by timely collection of crop samples, then clarifying them traditionally for measurement of sugar concentration using a Polarimeter, which is expensive, time-consuming and requires skilled labor. We conceptualized a simple-to-use portable optofluidic measurement device, based on the GOD-POD enzymatic reaction of glucose to get colorimetric output in the visible spectrum range. We report a new design where the difference in free glucose and total glucose (derived from sucrose) can be measured at 505 nm and can also be applicable to various other assays that requires the measurement of the difference in optical density of the target constituent (sucrose of 10 -25 % in our case) and interfering constituent (glucose) in a single step. We optimized the GOD-POD experiment method to get repeatable optical Absorbance within a pathlength of 2 mm for the analysis concentration of 10-25 mg/ml which is the dynamic range of sucrose in the crop. We designed, fabricated and characterized a new microfluidic platform with a 90 % optical transmission, having a 200 µm pathlength, 3 mm window, a proof-of-concept, Lab-on-chip based sensing device to detect the quality of sugarcane crop (Pol value/sucrose concentration) using only microliter volume of juice sample within the range of concentration that is obtained using traditional methods.",1,8/31/24 18:58,ithenticate,,"ShivaKarthik Ekambaram, Vikas Kumar, Swagata Halder and Amruta Ranjan Behera (Plaksha University, India)"
1571069101,Effect of Surfactant on Bulk Micromachining Characteristics of NH2OH+KOH,Track 11 Other Novel Applications,"Silicon anisotropic etching is the main process of silicon bulk micromachining to fabricate microelectro-mechanical systems (MEMS) components such as microcantilevers, diaphragms, mesa structures, etc. In this process, one of the most used anisotropic etchants is potassium hydroxide (KOH). Recently this etchant was modified by addition of NH2OH to alter the etching characteristics to obtain high etch rate and improved etch selectivity between silicon and thermal oxide (SiO2). In this work, we have studied the effect of surfactant Triton X-100 on bulk micromachining characteristics of NH2OH + KOH. Micromachining characteristics are investigated on Si{100} and Si{110} wafers. The addition of surfactant suppresses the undercutting at convex corners and the etch rate of Si{110}. The reduction of undercutting at convex corners is utilized to form mesa structures, while significantly low etch rate of Si{110} is exploited for the formation 45° slanted sidewalls (i.e., micromirror) by exposing {110} sidewalls at the mask edges aligned along <100> directions on Si{100} surface.",51,8/31/24 18:58,ithenticate,,"Avvaru Venkata Narasimha Rao (Physics Department, Rajiv Gandhi University of Knowledge Technologies Ongole, India); Prem Pal (Physics Department, IIT Hyderabad, India)"
1571069125,Meta-Learning Based Continual Learning Methods for Fine-Grained Fruit Quality Classification,Track 01 Agriculture and Food Technology,"The inefficiency in the food supply chain leads to significant food wastage. Traditional machine learning and deep learning approaches for fruit quality monitoring require large amount of training data and assumptions of independent and identically distributed (IID) data. Furthermore, most of these models are fruit specific that cannot be easily adapted for other types of fruits. In this paper, we have utilized and compared the performance of various meta-learning inspired continual learning algorithms as well as pure continual learning algorithms for few-shot fine-grained classification of quality stages of 14 types of fruits under the assumption of dynamic data distribution (i.e. the data for several fruits becomes available at different time intervals). Our results show that meta-learning-based continual learning algorithms, specifically Sync-MAML and C-MAML, perform significantly better than pure continual learning methods. These methods effectively mitigate catastrophic forgetting and adapt to new fruits with minimal data.",10,8/31/24 18:58,ithenticate,,"Aayush Mishra (TCS Research, India); Prathamesh Gadekar (Indian Institute of Information Technology, Pune, India); Manasi Patwardhan and Parijat Deshpande (TCS Research, India)"
1571069152,Flexible Organic Photodetectors With PEIE Electron Transport Layer for Ambient Light PPG Sensing,Track 03 Medical and Digital Healthcare,"The focus of this research is on developing and studying flexible organic photodetectors (OPDs) that utilize polyethyleneimine ethoxylated (PEIE) as the electron transport layer (ETL). The flexible OPD employs a conductive PEDOT: PSS anode on a flexible PET substrate. By using polyethyleneimine ethoxylated (PEIE) as an Electron Transport Layer (ETL) in flexible OPDs, the dark current is reduced by one order of magnitude and the photocurrent is increased by 60% at -2V bias. This results in a 14 dB increase in the linear dynamic range (LDR) compared to conventional LiF ETL in flexible OPDs. By making these improvements, the flexible OPD with PEIE can detect photoplethysmography (PPG) signals even in ambient light without LED usage. Acquiring the PPG signal under ambient light conditions opens possibilities for the development of low power PPG sensing wearables.",23,8/31/24 18:58,ithenticate,,"Hossein Anabestani, Zeljko Zilic and Sharmistha Bhadra (McGill University, Canada)"
1571069172,Laser Induced Graphitic Carbon on Kevlar Cloth: A Promising Material for Electrochemical Sensing,Track 09 Sensors Interfaces and Sensors Analytics,"In this work, we present the development of Laser-Induced Graphitic Carbon (LIGC) electrodes on flexible Kevlar cloth and show their potential use as wearable electrochemical sensors. Kevlar was converted into LIGC using a low-cost hobbyist 450 nm laser, highlighting a cost-effective method for creating graphitic carbon on cloth. Laser parameters were optimized to achieve low sheet resistance. Morphological and spectroscopic characterization revealed that LIGC had an intricated 3D porous morphology and confirmed the formation of sp² hybridized carbon. Electrochemical analysis in [Fe(CN)6]4−, Fe2+/3+ showed a quasi-reversible electron transfer mechanism on the graphitic carbon surface, primarily dominated by mass diffusion processes.",29,8/31/24 18:58,ithenticate,,"Md Rasel and Alida Russo (Tyndall National Institute, Ireland); Aidan Quinn (Tyndall National Institute, India); Daniela Iacopino (Tyndall National Institute, Ireland)"
1571069257,PdSe2 Doped ZnO for Highly Selective Hydrogen Sensing,Track 09 Sensors Interfaces and Sensors Analytics,"Materials with good selectivity and response, which work at room temperature, are essential to be used as a gas sensor. Transition metal dichalcogenides (TMDs) represents a class of two-dimensional materials with excellent electronic, chemical and optical properties. 2D materials are highly advantageous because atomically thin 2D sheets have high surface-to-volume ratios, and most of the atoms are exposed to the atmosphere. The modification of TMDs by metal oxide doping can improve their performance in gas sensing applications. In this work, we have selected PdSe2, a transition metal dichalcogenide doped with ZnO, a semiconducting metal oxide for making a highly selective room temperature hydrogen gas sensor with a sensing response of 34.45%.",42,8/31/24 18:58,ithenticate,,"Aarthi S M (Indian Institute of Space Science and Technology, India); Palash Basu (Indian Institute of Science, India); Amala K (Indian Institute of Space Science and Technology, India)"
1571069265,A Low-Cost Point-Of-Care Biosensor for Interleukin-6 Detection,Track 03 Medical and Digital Healthcare,"Interleukin-6 (IL-6) is an inflammatory cytokine that plays an important role in cancer. Its elevated level is indicative of metastasis during cancer. In this work, we have shown the development of a biosensor to detect IL-6. The device is fabricated using a screen-printed carbon electrode, surface-modified with electrodeposited gold. Further, an anti-IL-6 antibody was immobilized on the electrodeposited gold to detect IL-6. Various electrochemical analyses such as cyclic voltammetry (CV) and differential pulse voltammetry (DPV) were performed, and results show that the device exhibits a limit of detection (LOD) of 1 pg/ml. This work presents a simple and cost-effective, proof-of-concept device that can potentially be used as a point-of-care diagnostic tool for IL-6 detection, eliminating the need for complex surface modification strategies.",20,8/31/24 18:58,ithenticate,,"Greeshma Nechikat and Manjoosha Ratna Yerrapragada (Indian Institute of Technology Hyderabad, India); Renu John (Indian Institute of Technology, India)"
1571069272,Plasmonic Fiber Optic Absorbance Biosensor for Rapid and Real-Time Detection of SARS-CoV-2 in Naso- and Oro-Pharyngeal Samples,Track 03 Medical and Digital Healthcare,"The Covid-19 has highlighted the absolute need for sensitive, rapid and highly reliable diagnosis of infectious diseases with high precision in case of such pandemics in future. In this work, a plasmonic fiber optic absorbance biosensor (P-FAB) was designed and deployed for SARS-CoV-2 N-protein detection in clinical samples.  A simple two-step protocol was developed to test the sensor with naso- and oro-pharyngeal samples encompassing confirmed SARS-CoV-2 cases and healthy controls. A handheld read out device with fiber optic sensor cartridge was developed to allow simple, dip-type analysis in 20 mins. The results from 10 positive and 5 negative samples demonstrate 80 % sensitivity and 100 % specificity of the P-FAB. As validated through comprehensive clinical testing, the developed sensor reflects the enhanced diagnostic capabilities, with immense scope for guided interventions during infectious diseases outbreaks.",26,8/31/24 18:58,ithenticate,,"Preethi Ravi (Indian Institute of Technology, Madras, India); Saran S (Sri Ramachandra Institute of Higher Education and Research, India); Nandini Swaminathan (Indian Institute of Technology Madras (IITM), India); Divya U and Divagar Murugan (Indian Institute of Technology, Madras, India); Narayanan Madaboosi (Indian Institute of Technology Madras, India); Himanshu Bhatia (Ricovr Healthcare Inc, USA); Padma Srikanth (Sri Ramachandra Institute of Higher Education and Research, India); V V Raghavendra Sai (Indian Institute of Technology Madras, India)"
1571069276,Sensitivity Analysis of Coupled Nonlinear Oscillators,"Track 04 Industry 5. 0, Manufacturing and Automation","This study investigates the synchronization behavior of coupled nonlinear oscillators, focusing on the sensitivity of synchronization to system parameters and coupling strength. Employing Floquet theory and numerical simulations, we analyze both homogeneous and heterogeneous oscillator systems. Our results demonstrate that synchronization depends on specific parameter ranges and coupling gain values. We establish bounds for these parameters, offering insights into reliable synchronization conditions. This work advances our understanding of coupled nonlinear systems with potential neuroscience and electrical engineering applications. While limited to specific oscillator models and parameter spaces, our findings motivate future research. Expanding the scope to diverse models and broader parameter ranges, alongside pursuing analytical solutions, promises to generalize the observed behaviors and provide deeper mathematical insights into synchronization mechanisms.",12,8/31/24 18:58,ithenticate,,"Sanjeev Kumar Pandey (Indian Institute of Technology Delhi, India & IIT Delhi, India)"
